id,model,condition,pass_at_1,pass_at_5,mean_ext_bleu,max_ext_bleu
HFT-0180,llama3-70b,zero_shot,0.0,0.0,0.1245,0.1489
HFT-0181,llama3-70b,zero_shot,0.2,0.7778,0.0902,0.1663
HFT-0182,llama3-70b,zero_shot,0.8,1.0,0.1779,0.2145
HFT-0183,llama3-70b,zero_shot,0.0,0.0,0.1324,0.14
HFT-0184,llama3-70b,zero_shot,0.0,0.0,0.1284,0.14
HFT-0185,llama3-70b,zero_shot,0.0,0.0,0.0,0.0
HFT-0186,llama3-70b,zero_shot,0.7,1.0,0.1543,0.1811
HFT-0187,llama3-70b,zero_shot,0.2,0.7778,0.1235,0.164
HFT-0188,llama3-70b,zero_shot,0.0,0.0,0.0884,0.1481
HFT-0189,llama3-70b,zero_shot,0.0,0.0,0.1204,0.14
HFT-0190,llama3-70b,zero_shot,0.0,0.0,0.1312,0.14
HFT-0191,llama3-70b,zero_shot,0.5,0.996,0.1452,0.1817
HFT-0192,llama3-70b,zero_shot,0.2,0.7778,0.1096,0.1582
HFT-0193,llama3-70b,zero_shot,0.0,0.0,0.0704,0.1093
HFT-0194,llama3-70b,zero_shot,0.0,0.0,0.0793,0.1473
HFT-0195,llama3-70b,zero_shot,0.0,0.0,0.0645,0.13
HFT-0196,llama3-70b,zero_shot,0.0,0.0,0.0628,0.108
HFT-0197,llama3-70b,zero_shot,0.0,0.0,0.06,0.06
HFT-0198,llama3-70b,zero_shot,0.0,0.0,0.1124,0.14
HFT-0199,llama3-70b,zero_shot,0.0,0.0,0.1148,0.14
HFT-0200,llama3-70b,zero_shot,0.0,0.0,0.1084,0.14
HFT-0201,llama3-70b,zero_shot,0.0,0.0,0.1292,0.14
HFT-0202,llama3-70b,zero_shot,0.2,0.7778,0.1022,0.1637
HFT-0203,llama3-70b,zero_shot,0.0,0.0,0.126,0.14
HFT-0204,llama3-70b,zero_shot,0.0,0.0,0.0936,0.14
HFT-0205,llama3-70b,zero_shot,0.2,0.7778,0.1303,0.1783
HFT-0000,mixtral-8x7b,zero_shot,0.6,1.0,0.1403,0.1707
HFT-0001,mixtral-8x7b,zero_shot,0.7,1.0,0.1666,0.2083
HFT-0002,mixtral-8x7b,zero_shot,0.0,0.0,0.0716,0.14
HFT-0003,mixtral-8x7b,zero_shot,0.6,1.0,0.1513,0.1867
HFT-0004,mixtral-8x7b,zero_shot,0.0,0.0,0.1276,0.14
HFT-0005,mixtral-8x7b,zero_shot,0.6,1.0,0.1581,0.1923
HFT-0006,mixtral-8x7b,zero_shot,0.3,0.9167,0.1191,0.1544
HFT-0007,mixtral-8x7b,zero_shot,0.4,0.9762,0.1336,0.1695
HFT-0008,mixtral-8x7b,zero_shot,0.3,0.9167,0.1027,0.1555
HFT-0009,mixtral-8x7b,zero_shot,0.0,0.0,0.0848,0.136
HFT-0010,mixtral-8x7b,zero_shot,0.0,0.0,0.1188,0.14
HFT-0011,mixtral-8x7b,zero_shot,0.0,0.0,0.072,0.14
HFT-0012,mixtral-8x7b,zero_shot,0.0,0.0,0.0552,0.1
HFT-0013,mixtral-8x7b,zero_shot,0.0,0.0,0.1264,0.14
HFT-0014,mixtral-8x7b,zero_shot,0.0,0.0,0.1116,0.14
HFT-0015,mixtral-8x7b,zero_shot,0.0,0.0,0.1299,0.14
HFT-0016,mixtral-8x7b,zero_shot,0.1,0.5,0.0984,0.15
HFT-0017,mixtral-8x7b,zero_shot,0.0,0.0,0.1312,0.14
HFT-0018,mixtral-8x7b,zero_shot,0.2,0.7778,0.1188,0.1746
HFT-0019,mixtral-8x7b,zero_shot,0.2,0.7778,0.1372,0.1519
HFT-0020,mixtral-8x7b,zero_shot,0.5,0.996,0.14,0.1721
HFT-0021,mixtral-8x7b,zero_shot,0.0,0.0,0.1104,0.14
HFT-0022,mixtral-8x7b,zero_shot,0.3,0.9167,0.1257,0.1549
HFT-0023,mixtral-8x7b,zero_shot,0.0,0.0,0.1071,0.1451
HFT-0024,mixtral-8x7b,zero_shot,0.0,0.0,0.1178,0.1482
HFT-0025,mixtral-8x7b,zero_shot,0.0,0.0,0.1268,0.14
HFT-0026,mixtral-8x7b,zero_shot,0.0,0.0,0.1072,0.14
HFT-0027,mixtral-8x7b,zero_shot,0.0,0.0,0.0814,0.14
HFT-0028,mixtral-8x7b,zero_shot,0.0,0.0,0.0815,0.1054
HFT-0029,mixtral-8x7b,zero_shot,0.4,0.9762,0.1255,0.1592
HFT-0030,mixtral-8x7b,zero_shot,0.2,0.7778,0.1268,0.1587
HFT-0031,mixtral-8x7b,zero_shot,0.4,0.9762,0.1449,0.1797
HFT-0032,mixtral-8x7b,zero_shot,0.1,0.5,0.1067,0.1513
HFT-0033,mixtral-8x7b,zero_shot,0.0,0.0,0.11,0.14
HFT-0034,mixtral-8x7b,zero_shot,0.1,0.5,0.1165,0.1512
HFT-0035,mixtral-8x7b,zero_shot,0.1,0.5,0.1147,0.1552
HFT-0036,mixtral-8x7b,zero_shot,0.0,0.0,0.1368,0.14
HFT-0037,mixtral-8x7b,zero_shot,0.0,0.0,0.1244,0.14
HFT-0038,mixtral-8x7b,zero_shot,0.0,0.0,0.1168,0.14
HFT-0039,mixtral-8x7b,zero_shot,0.0,0.0,0.128,0.14
